Annee;Mois;Categorie;Montant
2022;janv;Dotations aux Amrt & Prov;0.0
2022;janv;Frais de personnel;42648024.0
2022;janv;Frais divers de gestion;328950.0
2022;janv;Impôts et taxes;1189408.0
2022;janv;Transports et déplacements;0.0
2022;janv;Travaux, fournitures et services extérieurs;2559065.0
2022;fev;Dotations aux Amrt & Prov;150000.0
2022;fev;Frais de personnel;44610852.0
2022;fev;Frais divers de gestion;42034597.0
2022;fev;Impôts et taxes;9906396.0
2022;fev;Transports et déplacements;283340.0
2022;fev;Travaux, fournitures et services extérieurs;114179375.0
2022;mar;Dotations aux Amrt & Prov;95000.0
2022;mar;Frais de personnel;42783554.0
2022;mar;Frais divers de gestion;8491287.0
2022;mar;Impôts et taxes;13021737.0
2022;mar;Transports et déplacements;65900.0
2022;mar;Travaux, fournitures et services extérieurs;24180928.0
2022;avr;Dotations aux Amrt & Prov;0.0
2022;avr;Frais de personnel;49138681.0
2022;avr;Frais divers de gestion;15567955.0
2022;avr;Impôts et taxes;4384497.0
2022;avr;Transports et déplacements;0.0
2022;avr;Travaux, fournitures et services extérieurs;49773896.0
2022;mai;Dotations aux Amrt & Prov;252171.0
2022;mai;Frais de personnel;43343616.0
2022;mai;Frais divers de gestion;46138328.0
2022;mai;Impôts et taxes;2506184.0
2022;mai;Transports et déplacements;0.0
2022;mai;Travaux, fournitures et services extérieurs;36356060.0
2022;juin;Dotations aux Amrt & Prov;846666.0
2022;juin;Frais de personnel;59648097.0
2022;juin;Frais divers de gestion;38719603.0
2022;juin;Impôts et taxes;12468105.0
2022;juin;Transports et déplacements;303900.0
2022;juin;Travaux, fournitures et services extérieurs;62391809.0
2022;juill;Dotations aux Amrt & Prov;3282829.0
2022;juill;Frais de personnel;15492371.0
2022;juill;Frais divers de gestion;36508414.0
2022;juill;Impôts et taxes;14335032.0
2022;juill;Transports et déplacements;550400.0
2022;juill;Travaux, fournitures et services extérieurs;54013705.0
2022;aout;Dotations aux Amrt & Prov;35000.0
2022;aout;Frais de personnel;35712034.0
2022;aout;Frais divers de gestion;16899138.0
2022;aout;Impôts et taxes;12325234.0
2022;aout;Transports et déplacements;2285380.0
2022;aout;Travaux, fournitures et services extérieurs;103438499.0
2022;sep;Dotations aux Amrt & Prov;0.0
2022;sep;Frais de personnel;39085610.0
2022;sep;Frais divers de gestion;23430095.0
2022;sep;Impôts et taxes;3870125.0
2022;sep;Transports et déplacements;1287600.0
2022;sep;Travaux, fournitures et services extérieurs;10031253.0
2022;oct;Dotations aux Amrt & Prov;925871203.0
2022;oct;Frais de personnel;49968007.0
2022;oct;Frais divers de gestion;33348197.0
2022;oct;Impôts et taxes;17562907.0
2022;oct;Transports et déplacements;442800.0
2022;oct;Travaux, fournitures et services extérieurs;77875099.0
2022;nov;Dotations aux Amrt & Prov;125100730.0
2022;nov;Frais de personnel;43125552.0
2022;nov;Frais divers de gestion;150013878.0
2022;nov;Impôts et taxes;5883106.0
2022;nov;Transports et déplacements;50000.0
2022;nov;Travaux, fournitures et services extérieurs;61772946.0
2022;dec;Dotations aux Amrt & Prov;83081174.0
2022;dec;Frais de personnel;196536626.0
2022;dec;Frais divers de gestion;59392209.0
2022;dec;Impôts et taxes;118894306.0
2022;dec;Transports et déplacements;0.0
2022;dec;Travaux, fournitures et services extérieurs;63939758.0
2023;janv;Dotations aux Amrt & Prov;1057052.0
2023;janv;Frais de personnel;46222211.0
2023;janv;Frais divers de gestion;37560029.0
2023;janv;Impôts et taxes;13629171.0
2023;janv;Transports et déplacements;4816800.0
2023;janv;Travaux, fournitures et services extérieurs;4648024.0
2023;fev;Dotations aux Amrt & Prov;593289.0
2023;fev;Frais de personnel;52067922.0
2023;fev;Frais divers de gestion;56834432.0
2023;fev;Impôts et taxes;7893377.0
2023;fev;Transports et déplacements;1915469.0
2023;fev;Travaux, fournitures et services extérieurs;142348123.0
2023;mar;Dotations aux Amrt & Prov;6611267.0
2023;mar;Frais de personnel;40022178.0
2023;mar;Frais divers de gestion;56303023.0
